timestamp,plate_number,plate_type,plate_label,state_code,state_name,series,confidence,frame_saved
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012114.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012117.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012120.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012123.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012126.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012129.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012132.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012135.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012138.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012141.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012145.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012148.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012151.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012154.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012157.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012200.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012203.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012206.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012209.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012212.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012215.jpg
2026-06-07T01:18:34.039728,LLDN0J,white,Private,LL,Unknown,Old format,50.25,output\webcam\LLDN0J_20260607_012218.jpg
